OTU_ID,TaxonPath
7c7ae96f1923dc92042228ecca59a2d1,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Cichliformes;f__Cichlidae;g__Apistogramma;s__Apistogramma baenschi;
5aace9dedae30a32da43c2af7e93dc1a,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;f__Pomacentridae;g__Similiparma;s__Similiparma lurida;
116df6953886773d5732f13a560e2bae,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;f__Pomacentridae;g__Similiparma;s__Similiparma lurida;
0a0b3934d798e87920c517b44a76f1bc,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;f__Pomacentridae;g__Similiparma;s__Similiparma lurida;
44c2465b2858063f1cfab67e9f6c4983,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;f__Pomacentridae;g__Similiparma;s__Similiparma lurida;
fd7f728d559e0cd672b4aaa6ec707eea,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;f__Pomacentridae;g__Similiparma;s__Similiparma lurida;
c9de76e3a66679f3dd841da0cc0b912b,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;f__Pomacentridae;g__Similiparma;s__Similiparma lurida;
236da914ff02a47c28a8ae83bb824706,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;f__Pomacentridae;g__Similiparma;s__Similiparma lurida;
39e81c0d707c144db5cc7bc17f043d63,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;f__Pomacentridae;g__Similiparma;s__Similiparma lurida;
3dbad0ee08dc0848da79366adf35bd85,d__Eukaryota;k__Metazoa;p__Chordata;c__Actinopteri;o__Gadiformes;f__Merlucciidae;g__Merluccius;
4524b963f31636399d08f9f0241eb82d,d__Eukaryota;k__Metazoa;p__Chordata;
3914e704035123e6760a24bd453ee0c1,d__Eukaryota;k__Metazoa;p__Chordata;
9ca41176a291a6ca751c23b7c0fffa96,d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;
572812d1252dd0da7a8e0560e561fa52,d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Rodentia;f__Echimyidae;g__Pattonomys;
34844500eb2e6136da1b37961593dab2,d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens;
2e1b2777bfa95c35382ddcd3103a03b8,d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens;
aaa9b3b2b67e6777c44855427fff18f3,d__Eukaryota;k__Metazoa;p__Chordata;c__Mammalia;o__Primates;f__Hominidae;g__Homo;s__Homo sapiens;
